80	128	199	
81	129	252	
82	130	233	
83	131	226	
84	132	228	
85	133	224	
86	134	229	
87	135	231	
88	136	234	
89	137	235	
8A	138	232	
8B	139	239	
8C	140	238	
8D	141	236	
8E	142	196	
8F	143	197	
90	144	201	
91	145	230	
92	146	198	
93	147	244	
94	148	246	
95	149	242	
96	150	251	
97	151	249	
98	152	255	
99	153	214	
9A	154	220	
9B	155	162	
9C	156	163	
9D	157	165	
9E	158	8359	
9F	159	402	
A0	160	225	
A1	161	237	
A2	162	243	
A3	163	250	
A4	164	241
A5	165	209	
A6	166	170	
A7	167	186	
A8	168	191	
A9	169	8976	
AA	170	172
AB	171	189	
AC	172	188	
AD	173	161	
AE	174	171
AF	175	187	
B0	176	9617	
B1	177	9618	
B2	178	9619	
B3	179	9474	
B4	180	9508	
B5	181	9569	
B6	182	9570	
B7	183	9558	
B8	184	9557	
B9	185	9571	
BA	186	9553	
BB	187	9559	
BC	188	9565	
BD	189	9564	
BE	190	9563	
BF	191	9488	
C0	192	9492	
C1	193	9524	
C2	194	9516	
C3	195	9500	
C4	196	9472	
C5	197	9532	
C6	198	9566	
C7	199	9567	
C8	200	9562	
C9	201	9556	
CA	202	9577	
CB	203	9574	
CC	204	9568	
CD	205	9552	
CE	206	9580	
CF	207	9575	
D0	208	9576	
D1	209	9572	
D2	210	9573	
D3	211	9561	
D4	212	9560	
D5	213	9554	
D6	214	9555	
D7	215	9579	
D8	216	9578	
D9	217	9496	
DA	218	9484	
DB	219	9608	
DC	220	9604	
DD	221	9612	
DE	222	9616	
DF	223	9600	
E0	224	945	
E1	225	223	
E2	226	915	
E3	227	960	
E4	228	931	
E5	229	963	
E6	230	181	
E7	231	964	
E8	232	934
E9	233	920	
EA	234	937	
EB	235	948	
EC	236	8734	
ED	237	966	
EE	238	949	
EF	239	8745	
F0	240	8801	
F1	241	177	
F2	242	8805	
F3	243	8804	
F4	244	8992	
F5	245	8993	
F6	246	247	
F7	247	8776	
F8	248	176	
F9	249	8729	
FA	250	183	
FB	251	8730	
FC	252	8319	
FD	253	178	
FE	254	9632	
FF	255	160	
